,text_a,label
62,malahay48802284 pemetikkadrun08 arrahim coffeeandme siagian boyke hairaniemmi sujatnalina anakkolong soeripsarap airin nz ngomong2 kafir kyak nya blm yg blg kalo corona tentara yg nyerang kafir knp mekah menutup pintu mengantisipasi knp bs nyerang indonesia gy gy,no
63,eh ketinggalan info wni dah yg kena virus corona,yes
64,virus corona paksa pemerintah thailand batalkan gelaran motogp https t co y9eygual3u,yes
65,virus corona byk dilingkaran kekuasaan pe rcayalah satoedoeasatoe bungretweet ngapayah rumahbhinneka rahmatsn dagdigduq lutfi harizal andiarief dr koko28,no
66,hitc gimana corona batalin si postpone ajaaaa,no
67,kasihh pendapat virus corona udah masuk indonesia coronavirusindonesia covid19indonesia,yes
68,firseokjin nya temen si orang positif kena corona,no
69,rush masker hand sanitizer corona depok udah ni timeline doang isi nya,no
70,nasional tangkal corona fraksi pks se indonesia diimbau edukasi masyarakat media radio berita online terbaru terpercaya https t co lrzibxdhdv,yes
71,tuhhh menkes dengerin https t co ci0to7wexp,no
72,walkot depok data 70 an perawat rs interaksi pasien corona https t co u5gdmw1g7g,yes
73,https t co g1u2ryrboo orang kena virus corona tinggal perumahan studio alam sukmajaya depok,yes
74,waltonkate salah wapres nya kena wakil menkes iran kena,yes
75,sesuai dgn keputusan menkes ri nomor hk 01 07 menkes 104 2020 bentuk pembiayaan dlm rangka upaya penanggulangan ditanggung kemenkes pemda amp sumber dana yg sah sesuai dgn ketentuan perundang undangan https t co r86jk4zgym sorotnews https t co iaw5dpi3fq,yes
76,menkes bilang https t co 2fqxho1qtn,no
77,kurawa profesionalisme menkes lg uji om gy gy gy,no
78,mrjuna 02 ku kalamian obat na husus jang menkes,no
79,indonesia mencontoh viruscorona wuhan china coronavirus coronavirusoutbreak covid breakingnews viuscoronaupdate 2wni depok menkes terawan stoppaniklawancorona maskermahal janganpanik suspect https t co rupjkyu6uh,no
80,realabikatrader meninggal seh nya sembuh gimana sih pa menkes neh,no
81,anindiyanidiya1 pertengahan feburari menkes terawan bilang yg sehat gak pake masker netizen seindonesia nyinyirin bbrp beredar video menkes singapore yg netizen memuji menjadikan beliau referensi tuh kagum ngeliat fenomena tsb,yes
82,yg heran menkes krn gaya nya santuy nya dokter2 gitu ya ngasih tau penyakit lempeng gitu kadang dibecandain krn ya aja mrk tau teori dsb dsb nya ya gitu dsa anak gw gaya nya jg gy,no
83,faizalassegaf presiden menkes konfrensi pers,no
84,ferdinandhaean2 mas piyuuu klihatan bego mu lae menkes sndiri bntah barang trs km bilang data dri kemenkes otak mna otakgy kgy k,no
85,mas piyuuu hebat ya menkes darimana ilmu nya ya,no
86,kadrun gl menkes bicara nasional include jakarta kota indonesia jgn jgn lu ga nonton video keterangan menkes asem gue kena kibul sma lu,no
87,abetpunx menkes bilang yg sakit pk masker ributtttt sosmed jokowi giliran menkes sebelah ngomong yg mingkeemmm membenarkan dasar bahlul ngablak sok pinter,yes
88,jjrizal fktmb menkes liat informasi jgn ku det cc kemenkesri,no
89,insidefajar cittairlanie smua nya bilang gitu mas menkes singapura who dll dikasih tau bebal gy,no
90,kalah cangih nih masak kalah menkes tau yg kena corona sama2 dr desember meble https t co aiv93v18vt,no
91,menkes terawan kondisi pasien virus corona kiasumarketer viruscorona coronavirus covid19 https t co eljpskxrw6,no
92,geiszchalifah coba aja menkes si cina sono,no
93,fadlizon org klo otak nya zonk bgtu iri yg pinter dianggap nya sombong menkes jenderal bintang 3 dokter terkenal prabowo sakit nya aja sembuh sm dokter terawan nya yg sdh negara yg sumbang sih nyinyiran makian ujaran kebencian,no
94,ustadtengkuzul masker mencegah terpapar orang masker menkes pendekatan nya pengobatan memiliki ilmu pengelolaan kesehatan publik menhub pendekatan nya pencegahan salah metode pengelolaan kesehatan publik menhub,no
95,pukulan telak buata menkes https t co xffsxsjsuq https t co jatonduixk,no
96,anindyaw diprivate biar retweet send presiden menkes tercinta,no
97,tips cegah virus corona ala menkes jaga imunitas tubuh rajinlah cuci tangan kiasumarketer viruscorona https t co 12pbo8nk9k,yes
98,budihidayat20 terawan udah disuruh tutup mulut menkes govlo gitugy,no
99,d4tuk t4mburin menkes masyarakat hadapi corona pernyataan yg,no
100,aneh menkes negara ku bibir nya kayak jeplak aja ya,no
101,d m3chy sorotnews menkes yg ga sehat coronabukaborokrezim coronabukaborokrezim,no
102,jansen jsp coba pa menkes nya jenguk pa sien ga pake masker full body gy,no
103,rachmarach sondp992 yg pas rapat menkes nya nge gas pake masker emang nya sakit wkwk,no
104,zarazettirazr donadam68 menkes ditiadakan peran asumsi nya corona cetek pusing,no
105,fadlizon kesel bgt sm menkes bikin pernyataan yg kontroversial cobalah bikin pernyataan yg kalo pemerintah indonesia menghadapi corona langkah2 nyata terukur bola bali bilang ga corona,no
106,pandu90s kemaren nonton live interpiu nya menkes tvri kaya nya bener doi butuh jubir deh,no
107,yes ga yg sadar menghujat menkes https t co qsaopl4y3u,no
108,kalo mamang menkes bilang corona bs sembuh kyk flu media mainstream bilang wabah china udah berkurang yg sembuh udara china gak sebersih plis deh cek berita iran n korsel noh gy https t co 1xebrfhvqw,yes
109,do ra dong zulkiflilubis71 https t co ydrsqukg81 gak takut,no
110,positif wni terjangkit corona versi menkes terawan merahputih coronavirusindonesia menterikesehatan https t co ceuewagjg0,yes
111,ganimichel adamhjudge iy gue ngikutin menkes aja kalo sehat gapake masker,yes
112,corona fenomena horor nya gambaran penyakit tuh video yg orang2 wuhan tiba2 jatoh trus mati kayak zombi apocalypse,no
113,pengamat nilai terawan anggap remeh virus corona parah menkes up tagar aliansi coronabukaborokrezim 10 komen dgn 2 tagar hamdjr787 me lodya k4nceuh semut ireng98 pejuangreceeeh guh guhnan02 ibnupratama2000 ibuedey meycanmecaca https t co xiqsv5vbda https t co 4hic7sdyxm,yes
114,wabah corona zombie apocalypse https t co eexaxijr4h,yes
115,fiersabesari suka bikin meme corona list ketularan,no
116,indonesia mengonfirmasi coronavirus disease virus korona fakta dikenali panik terkait covid 19 covid19 corona korona virus https t co 4tvw2rj6bc,yes
117,mas piyuuu virus corona nya berbohong gy psgy psgy ps,no
118,mari doakan amp mensukseskan musda papua ke viii gereja kalvari pentakosta missi indonesia jayapura 10 12 maret 2020 hotel hom premiere abepura wearepcg pentecostalchurchofgod,no
119,muannas alaidid fahiraidris tdk lapor jokowi krn memgumumkan sdh yg kena corona,yes
120,pakantono depok slamet surabaya terkenal porsi e akeh cak,no
121,bimopd depok keras ngab gak pake masker2an yg filter,no
122,depok panas tb simatupang mendung pengen hujan bintaro panas,no
123,dacuuuul bogor depok sih deket,no
124,depok texas nya indonesia,no
125,cmalaka bergeser bonto duri depok jahat,no
126,skynamic kaget dgn corona depok,no
127,iyaiyaam depok gk ngab,no
128,bayu joo depok like apple yg dahulukan mencoba mengaplikasikan v,no
129,jiminie eomma18 ourtaevly bts twt dom depok jawa barat btsarmy bestfanarmy iheartawards bts twt,no
130,jiminie eomma18 bts twt depok huhu btsarmy bestfanarmy iheartawards bts twt,no
131,bengkel tangki air fiber jakarta bogor depok tangerang bekasi,no
132,pebrayyy monmaap warga depok w unfriend y,no
133,informasi grand depok city ku njungi website fitur memudahkan informasi terkini hunian kawasan grand depok city,no
134,mahasiswaums depok nanya aja obat jamur kucing,no
135,angel for bo ready vcs luvvpril luvvprill avail depok yuk isi slot nya exclude include wajib dp more info cek bio wa 087889620151 recomended real,no
136,baonggggg hahahaha gue org depok masala lu,no
137,kemaren santuy2 renang banjiran gosok gigi panik krn corona udah nyampe depok,yes
138,pagi2 udah kena tilang aja tiati yg arah lenteng depok laler ijo lengkapin surat2 kendaraan nya biar ga kayak gua,yes
139,ayu ting ting menyikapi virus corona yg marak depok nomor 6 bikin gak nyangka,no
140,kayak pelangi ciptaan tuhan sekda depok tenangkan warga virus corona ciptaan tuhan,yes
141,hotel murah kota bandung 140rb sarapan hotshower wa 087899899018 bandung bandunghotel infobandung infobdg iklan cimahi cirebon bogor depok banten jakarta yogya infobogor jakartaterkini,no
142,akusukangemil ajsthtjcxx depok,no
143,ramayanads depok masoh gak,no
144,ensiteaa dom depok yg chenle wml,no
145,pindah kampus ae gua kaliii yee depok corona bau nya udah kek rasis sarcas gini bangsat,no
146,brb perpanjang passport kalo nyeberang jkt or bogor bule depok nih literally,no
147,prakarsawilly hilmi28 btw depok jawa barat gog ngapain pake apbd dki jakarta,no
148,niwitama selamat pagi pemberangkatan depok jakarta kota tersedia pkl 04 27 05 27 05 57 06 32 07 02 07 47 08 02 08 22 12 35 15 17 15 54 wib tks,no
149,bucinsebong maen nya sampe depok,no
150,walikota depok 50 orang terindikasi corona,yes
151,diiylicious walkot depok ngeles nya sih kroscek diwawancara,no
152,lrt anak depok merantau asli gue kaget nethink,no
153,sih walkot depok mengambil solusi cerdas ga kayak nya,no
154,nya tinggal depok jakarta,no
155,hug m18 depok mutual,no
156,avatar upaxx hai kak keluhan kelistrikan nya admin mohon maaf berdasarkan data admin wilayah grogol depok gangguan komponen gardu upayakan teratasi ya kak mohon kesedian nya menunggu thanks asgar,no
157,herbal peninggi badan anak wa 0877 7000 7581 free ongkir depok herbalpeninggibadananak peninggi peninggibadan peninggitubuh peninggiherbal suplemenpeninggi vitaminpeninggi susupeninggi distributorresmipeninggibadan garansioriginal,no
158,thereal lun tau kalo depok ntar kayak wuhan menyebar wisata2 indonesia untung probolinggo gaada wisata wkwk,no
159,jual masker wajah berjerawat wa 0877 7000 7581 free ongkir depok maskerwajahberjerawat maskerspirulina obatjerawat obatjerawatampuh maskerwajah maskerorganik maskerherbal maskerbpom distributorresmimaskerspirulina garansioriginal,no
160,kadisdik depok corona sekolah perludiliburkan,yes
161,cepet banget udah sampe depok aja,no
162,okkadne walter vvhite biggest psycho urstrulymahesh ni amma chetha corona vachinola chivari korikalu teerpistha aa lanja vala moddalu ice cream cheekinatu cheeki intiki vachi ni ayya ki kiss lu petidhi lanjakodka nuvu ni ayya kalisi aa lanja muthi nakandi meesalu leni adangi lanjakodka,no
163,morreal14 doumalako wakh nga indifa corona bii,no
164,geiszchalifah mas piyuuu datuakatuk anak anakafir permadiaktivis tvonenews haddeuh nya bikin malu sma smaandadimana rumah sakit rujukan 135 orang lho depok jajahan dki layak nya poon monas disehatkan nya dimana masak anak balapan liar gak,no
165,collegemenfess gue aja yg kuliah gundar depok gatau kampus,no
166,td yg mending wkw jkt senin tgl 2 kemaren lg heboh corona depok jawa barat eh pas w mo jogja besok nya selasa tgl 3 hr erupsi merapi yg sampe hujan abu dimana2,no
167,noviafajwa gamau nge tag gue lg nih depok,no
168,jokowi minimalisir kunjungan org asing dr ngr indonesia sgt lbh mudah penangann antisipasi bg wni dlm negri thdp virus corona,yes
169,terima kasih jokowi keterbukaan pemerintah semoga terlindungi terhindar penyebaran virus merengut sekian nyawa manusia breaking jokowi umumkan 2 orang terkena virus corona indonesia,yes
170,permadiaktivis mohon suspek corona umur 71th yg pulang umroh mampir malaysia beliau makan babi tolong tuhan cape2 manusia otak nya tp ga dipake,no
171,kone djinakh day indi corona adieu,no
172,donadam68 kemarin walikota depok bilang berhenti merokok terkena corona berbeda,yes
173,dampak virus corona bioskop korea selatan sepi pengunjung nya menurun drastis titik terendah 16 viruscorona koreselatan,yes
174,dennysiregar7 konsumsi sdh berabad abad yg knp skrg persalahkan karen gegara virus corona knp ga aja virus corona tuh bang,no
175,corona jaldi kamal kar de na,no
176,lgsg wondering uang segitu pemerintah korea corona belom ditambah minimal 10jt won 50jt won artis nyumbang 50 artis x 10jt won aja udh brp duit yg dikerahkan corona,no
177,giat patroli kota monitoring penyediaan sembako masker produk kesehatan terkait isu virus corona rangka pencegahan penimbunan kenaikan harga,yes
178,nama nya penyakit ituh pergi aja aja silahkan mu,no
179,panic corona asli,no
180,cbaaitse nna ya europe ka june le tla sala le corona ya lona,no
181,mending anies baswedan tuh ngurus banjir ibukota aja gak kelar2 nangani corona duit nya bagi2 proyek bangun dibongkar jalan batu alam diaspal trus dibongkar udah ngabisin duit tuh,no
182,errinoputra saatnyo yg rantau baliak kampuang ma corona ndak masuak ka kampuang,no
183,infeksi virus corona covid 19 mencapai 95 481 dunia databoks,yes
184,blibli promo proteksi virus corona rp 12 000 blibli bodycare promo giladiskon infopromo infodiskon promoblibli promoonline promobodycare,no
185,whispoutloud digeeembok ngga ngomong kadrun kadran kadrun loe positif corona non muslim nyebarin indonesia non muslim kerjaan nyerang ngejek muslim kelakuan ngga bawa bawa israel yesus dibunuh,no
186,eajahe ohnanaohrara bdgfess kayak nya biar terbebas dri corona,no
187,giapratamamd riset dr boyke cowo yg nyabun berpotensi terkena virus corona krn tangan nya steril bersih perbanyaklah nyabun drpd pake masker nyabun mengakibatkan kehamilan gak berenang kolam renang gitu dok,no
188,tangkal virus corona dprd desak pemkot bekasi batasi izin keramaian megapolitan lt komentar,yes
189,aya08135859 ybelhaissi virus corona mayat,no
190,corona belom bahaya ah base ngajak cuddle jg masi rame bales,no
191,memekriot ricotude bikin molotov corona isi nya iler corona nya,no
192,gunromli aniesbaswedan kritik aja kemenkes knp bikin alamat website susah publik pake bahasa inggris pulak knp gak bikin yg simpel mudah jujur aja nama website corona dki mudah mnrt ku kemenkesri peka dlm urusan gawat spt,no
193,oh kampus ku,no
194,corona virus waja sy chaina sy makeup an b band ho giya hai pakistan mien ab darona virus ka b khatra coronaoutbreak pakistan,no
195,baca2 berita eh terduga korupsi partai bebas berkomentar corona nya dibesar besarkan situ sehat,no
196,genap 1 kelakar menhub indonesiabutuhpemimpin kelakar menhub kebal corona doyan nasi kucing republika online mobile,no
197,pura2 kena corona biar kuliah onlen,no
198,ilmuwan menciptakan corona virus melintasi kelelawar manusia 2015 north carolina,yes
199,corona coronavirusupdates covid19indonesia corona,no
200,inget reaksi first lady habis hajar aswad yah ketakutan mudah2an virus corona,no
201,bangzul ntb terkait corona rilis resmi pemprov ntb gmna gk gtu inisiatif drive thru tes corona kaya korsel ato usa biar lbh tanggep ngadepin corona,yes
202,bolacomid bangsat banget kelakuan yg sibuk ngindarin corona berantem nyampur dah lu ati2 ketuler corona,no
203,zuhairimisrawi senyap terukur kalimat sdh terpatahkan dgn menhub nya terkena corona virus,yes
204,tifsembiring amiin tp butuh bukti biar melek betapa bahaya nya v corona cebongers yg msh ngotot dibesar2kan utk cari panggung,no
205,darafahriza tanda terinfeksi covid 19,yes
206,divaerenst rosyidorikain ghinagnd pendukung jokowi tp pendukung bangsa indonesia apkh dr tompi sdh berkunjung rumah yg positif corona depok dr indro berkunjung masuk dlm rumah nya masker selang brp pasien karantina,no
207,nak dekatkam corona,no
208,hellookuki ehhh oii woeee kaka ponakan ku kerja rs solo nya udah yg meninggal huhu trs corona udah nyebar magetan takud bgt,yes
209,cegah virus corona pssi pt lib sepakat liga 1 libur liga 2 disetop pekan bolaskor pssi liga1 liga2,yes
210,langkah sunyi presiden terharu langkah sunyi presiden melawan tekanan asing terkait corona indonesia terjangkit virus corona sulit mengkritisi pemerintah nyinyirpun,yes
211,tjhinfar21 chusnulch panik dibesar besarkan jokowi yg memimpin operasi pencegahan penanggulangan corona smoga wabah corona aamiin,yes
212,ngelihat jokowi kerja kek nya males2an gitu menangani covid 19 kasihan keluarga ku yg indo lucky most of them staying in jawa even penyebaran pemimpin nya gercep don t know what will happen yg indonesia,no
213,heyiamjaneee bye gamau main sm janice wabah corona,no
214,yeh ab afwah kon phila raha hai k mein corona ka damad hun,no
215,pseudo feminists aur bts ko infect kro covid 19 aur baqi logon ki jaan bakhsh do,no
216,orang udah was was liat grafik covid 19 january wuhan ngeliat kelakuan warga 62 ga ngerti sadar tenaga medis terbatas bangun rs hitungan susah nya sih stay at home liburan,no
217,sadjurig weeey emang mobil corona,no
218,ub ugm unesa uad kuliah online mengindari virus corona unisma masuk melawan kekuatan sholawat nuril anwar nya mahasiswamlg unisma193 unisma mahasiswamalang,yes
219,sinunghartooo ora wedi corona ning wedi meteng,no
220,aapka corona hmare pass hai,no
221,mtherfvckrs corona ya,no
222,unga ngaa menang corona,no
223,indonesia mencatatkan kes positif 2 mac lepas kes setakat 96 kes kes kematian sinarharian covid,no
224,covid 19 323 rakyat malaysia itali selamat duta malaysia awaninews awani745,no
225,naon euy ieu jol aya nu mere berita virus corona menyerang cibiru virus malu menyerang rakyat bandung coret,yes
226,ombrewoks3 jokowi smoga jokowi n kelg n mentri2 nya kena corona amin yra,no
227,kementan ketersediaan komoditas pangan menjelang puasa lebaran aman terkendali khawatir dunia menghadapi isu corona elshintanewsandtalk,yes
228,bener zainudin mz sistem nya rubah hancurkan orang orang sistem nya hancurkan bae corona,no
229,wes bener antisipasi covid 19 ngombe ao,no
230,cnnindonesia tersediih corona tinggal lama2 ya kasian dede nyaaaaaa,no
231,serem jir corona udh sampe madiun w blm sedia masker samsek takutttt,yes
232,faizaa nft wes gausah kemana2 persetan batuk corona dunia sdg jahat imun mu lemah,no
233,inshallah bartomeu gets coronavirus,no
234,gw aktif kuliah kalo libur gegara corona gw lulusnya anjerr,no
235,jhb kul sempena virus novel corona bubye kl sarawak kerja lockdown,no
236,tl isine corona kr sambat menyambat unbk tok des,no
237,shoeb habiba yabakhtk ya fathy mt3rfsh ya3ny eh corona,no
238,teddygusnaidi mlh pd ribut jg pd kerja ngurusin muji junjungan masing2 tipe aja yg byk omong sm engga aja,no
239,anak dijual 5 miliat,yes
240,ay wo zaat jisne aasmaano ko buland kiya ay wo rab jisne saari makhlooq ko paida kiya ya hame iss virus nazaat ata farma ya itne aansu bahe he karodo imaanwalo koi katra pasand krle or iss corona puri duniya insaano ko nazaat de de ameen,no
241,pakai masker bikin lbh sob ayo lawan corona himbauan gub jtg bp ganjarpranowo pakaimasker irwantoarief1 pemdestieng surengede,yes
242,langkah pegadaian hadapi penghentian umrah akibat virus corona https t co tyfw9nbvy0,yes
243,art kota ku 2 orang positif corona lupa makan buah vit c yaa btw belajar waco gy https t co bqx3gb86o3,yes
244,cyxonevia adikkelas0 si bangsat corona gak mager nya ja anjeng,no
245,sayang ndagel gitu aja ampe kena corona,no
246,w blm kena corona tp dh suicidal,no
247,wabah corona pencegahan deteksi masyarakat https t co jy4fovprrm,yes
248,global fortress part 2 dunia melawan kebohongan china virus corona long march the barons monks and mongols uprising longmarch gyoe https t co thcf4xcbh1,yes
249,gatauakugaliat e100ss nama blakang mu aja udah sejenis virus corona mbak e demam batuk indikasi nya,no
250,null stasiun kereta terminal bus siaga corona orang warga negara indonesi https t co q9la8sxxtd,yes
251,terkait virus corona tolong diliat lembaga klarifikasi biar valid liat story org yg isi nya cuman pake baju pelindung virus virus dishare positif make jaga jaga,no
252,yuk baca detiknewsid https t co erbgybovvb,yes
253,bumnlawancorona stok barang kepanikan corona melahirkan spekulan masker https t co peov9trgxq,no
254,katolikg pekerja nya rmhkan gagara corona bs check tetuit nya,no
255,artis aming marah ak marah sindir kebijakan terkait virus corona https t co up7cmh5cii,no
256,bpip diem menkes diem ntar lama2 diem smua ni rezim gegara bacot nya jgn2 opung skrg jrg ngomong jg gegara disuruh diem gy s https t co audiytlubj,no
257,klo menkes mu yg ga oke jgn media yg disalahin utk corona 1 pintu pejabat bicara mu kementrian mu yg berbenah komen be smart https t co amjvx3tweg,no
258,katrina so9 rizkikitri setuju aneh menkes ri melarang orang sehat pakai masker nya menkes abang bakso sih eta terangkanlah gy coronabukaborokrezim coronabukaborokrezim,yes
259,kurawa bener om kur udh framing gak bener menkes terpengaruh fren,no
260,panik corona menkes masyarakat jaga stamina stoppaniklawancorona https t co 9askzqskmd https t co x9ocvfpyb3,yes
261,nyadar jg klo menkes kelewat santai memunculkan salah persepsi https t co oumdwge2zj,no
262,jg menkes mati bsk jg mati jgn bikin rakyat mati konyol krn ulah pemerintah yg tdk perduli menyepelekan amp membohongi rakyat dgn cara2 yg bodoh bicara tipu2 utk framing opini publik tutupi kegagalan mengelolah lini2 negara krn amatiran https t co rzg9ny5tam,no
263,elisa jkt dinkesjkt khawatir nya ya wartawan tanggapan menkes pernyataan gub lupa konteks nya istilah pemantauan pengawasan menkes,no
264,menkes pinter bidang nya public speaking nya solusi nya beliau jubir belajar menata si gy https t co x5w4nnlshr,no
265,ajeng cute16 kt menkes hukum ekonomi,no
266,kompascom lhah sa ntai ajalah perti menkes ntar sembuh koq,no
267,bebque bananahoe biar pikir menkes cengengesan,no
268,rezim gaduh blm sejahterakan rakyat pe mbantu nya jkw bikin gaduh ntah krn msh training emang pd ga becus kerja gy menkes nya ampuun dah terkait virus corona boro2 bikin adem rakyat https t co fz0p90byiq,no
269,patrick burner semoga corona ilang dr permukaan bumi biar mandi ibuny sj,no
270,birkindust lupa minum alcohol ya om say no to corona,no
271,sibuk urus corona boleh2 aja tp jgn lupakan rakyat yg merana,no
272,yuyun t cnnindonesia mbak sembuh virus corona dibanding meninggal diekspose ga berimbang,no
273,corona tembus stay safe guys covid19indonesia,yes
274,2 wni teridentifikasi corona penanganan https t co lyx67wvizx,yes
275,dikan1101 hihhh ayo dikan tidur sejam 2 jam ngerjain butuh imun kuat ngehadang corona,no
276,ndisik devide et impera karo londo saiki devide et impera karo wahabi khilafah kadrun yo manut tangio kabeh nggo indonesia pancasila cah,no
277,dennysiregar7 jokowi kliatan ya gembira corona masuk indonesia,yes
278,primaverris corona obat nya belom diapotek ris,yes
279,wali kota depok representasi temen yg diceritain bersabda iya gua janji ga blg siapa what happens in here stays here na besok lgsg kesebar pamflet mading spanduk kawan kawan nya dgn materi cerita,no
280,lafagreen warga depok udah lelah pasrah,no
281,pdi perjuangan optimis tumbangkan pksejahtera dipilkada anak ranting hard work gerindra gandengan pdip lawanhoaxviruscorona,yes
282,s siscajkt48 hah hujan depok udh kayak gurun madmax anjir,no
283,dukuhatasbni nyesel gue pindah depok wkwk cepet ganti kek,no
284,dah bener depok diisolasi aja jabotabek kayak wuhan,yes
